identifier,timestamp,RoleType
be0b3c59-fb6e-452e-a865-8102bad36d70,2019-02-09T21:33:31.608Z,IC
72f4a088-c553-494b-90e1-e988c9a8d721,2019-02-09T17:16:05.643Z,LEAD
fbb8d7b8-6a61-46a0-b2ec-4bf4d9cb5c56,2019-02-09T19:45:59.256Z,IC
8fa10a47-d732-4df3-a6f9-9d37f7bc8b87,2019-02-09T23:45:44.298Z,IC
52b71d2d-20c5-4697-a161-62096711ecca,2019-02-09T19:35:33.5097463Z,IC
b9ac70e2-06e8-4fdc-a36a-ef5c5f8c972a,2019-02-09T16:42:10.63Z,IC
fb3a56df-ac96-4ba9-8e34-380e85fd46cd,2019-02-09T18:20:49.795Z,IC
29617014-4664-492e-b38e-839fce6a5a11,2019-02-09T15:56:04.695Z,IC
6c754fda-36db-413c-9e9f-6804f0afad77,2019-02-09T18:30:12.611Z,IC
b0fdd8ca-335e-4196-a98f-07a2b8e8be09,2019-02-09T21:22:41.696Z,IC
bd1d2e1c-6fc7-40f7-a485-6dd2125e5e22,2019-02-09T19:08:19.79Z,IC
d953ed5a-25f8-4516-a0cd-798107351bb7,2019-02-09T19:52:59.045Z,IC
6912eb31-cd9b-4556-8bfc-01298a6dd786,2019-02-09T23:57:30.777Z,IC
7bb8833c-8a48-4a17-a6bb-e56ce5c07ee4,2019-02-09T21:38:19.103Z,IC
f613cef0-2a9a-4452-9f73-65e1f2859eec,2019-02-09T21:58:07.193Z,IC
9d925e32-1326-468b-944e-50690286e6c5,2019-02-09T20:38:09.226Z,IC
b9668361-1711-44a0-91ae-2c855070e587,2019-02-09T20:11:39.405Z,IC
8d2dc503-7a0a-4fb0-8010-e195f127a958,2019-02-09T08:39:23.094Z,0
6345bcb1-7b8c-4eda-90f7-c1bdf70180ad,2019-02-09T18:09:27.863Z,IC
6bca2677-f732-45e0-9643-ac09cda2f5d1,2019-02-09T17:29:33.325Z,0
bd1396e9-6bbe-4195-aa9e-cb44d026da9e,2019-02-09T23:40:11.299Z,IC
1075702f-d7bb-412d-bed9-b55e719719f8,2019-02-09T23:47:04.093Z,IC
02ed2325-1d7b-47b9-8a08-c739a14ea214,2019-02-09T23:50:52.046Z,0
bea31e8c-7838-4845-8190-68468540a6d9,2019-02-09T21:22:21.892Z,IC
34f6e7c0-a474-4928-b6e1-0ae22d45827e,2019-02-09T23:30:32.125Z,IC
fb2391ef-c335-4ea7-9f5f-f7dc5aed5e55,2019-02-09T18:57:22.765Z,IC
f2bebcb0-f574-464d-9031-8a943e796d62,2019-02-09T17:28:30.282Z,IC
278a095d-5a67-4a0c-91e4-a933d925b63b,2019-02-09T18:42:10.197Z,IC
95fcb98a-3234-453c-87b3-eda90bea33fd,2019-02-09T19:03:15.565Z,LEAD
176c3a3f-eb34-4916-80d7-258f532a9c18,2019-02-09T20:46:59.426Z,IC
fea5e932-92fc-4890-81c7-9bdec20bb855,2019-02-09T18:21:52.847Z,IC
7055c57c-a058-4592-858e-94da769cd17c,2019-02-09T15:42:51.116Z,IC
02ff895c-93c3-4b11-a95e-d8d2c063da90,2019-02-09T21:03:15.818Z,IC
3d038901-8450-4084-ab4a-b9f21a4f7368,2019-02-09T17:50:36.613Z,IC
d8330cc2-22ca-46e2-80a0-f43d1a3c0b76,2019-02-09T09:58:51.031Z,IC
dbe4ec75-1220-4d15-9288-ff4a1d5b8358,2019-02-09T23:24:30.058Z,IC
c9a3a098-1e58-4e4a-98cc-294ad85853d8,2019-02-09T19:25:33.342Z,IC
28904c06-78b9-41a3-9c1d-332c560eb617,2019-02-09T14:49:23.436Z,IC
76118976-ce21-4441-a239-2f61750d8c0c,2019-02-09T21:22:49.963Z,LEAD
d7448bef-1bb2-4f30-89ab-eb50e40cd643,2019-02-09T22:05:39.524Z,IC
b1edd522-6a3c-433d-9f4a-e516f8c51e8e,2019-02-09T19:42:52.737Z,IC
7046f89d-213b-40ce-8f55-be285d6794a9,2019-02-09T16:52:52.43Z,IC
6409051a-8d83-456c-86c8-07383f2a6821,2019-02-09T21:54:14.685Z,IC
37845a04-8784-4112-a678-d0fb343464f3,2019-02-09T23:52:22.707Z,IC
e2ab2522-15bb-42e2-ab9c-a2607e67791f,2019-02-09T21:37:42.324Z,IC
5c0ac763-5b21-4fcc-8b71-8667630c4263,2019-02-09T09:10:51.682Z,IC
ea5c59bb-480e-42e0-bbcf-3a44f3b1ebca,2019-02-09T20:04:04.229Z,IC
79ad5a4f-4d9e-469f-a1bb-6adec9a228d7,2019-02-09T19:55:53.906Z,IC
ead4bcf9-6bf0-452f-86f0-b35fd6f75690,2019-02-09T17:22:56.058Z,IC
2f140441-54a0-49b2-8e7c-2b304a5e20fd,2019-02-09T22:35:40.678Z,IC
890b3673-e7f2-47bc-be06-fd47bb3e71b6,2019-02-09T19:04:36.643Z,0
56f2f21d-133e-4ce4-98ed-12bf37b28790,2019-02-09T08:37:42.274Z,IC
6a8f757e-24b9-41a0-a19b-8c4022d50a27,2019-02-09T19:30:17.523Z,IC
aad6eb38-c637-4701-971d-c716e68b796e,2019-02-09T21:53:27.944Z,IC
e52d9531-1dc5-40df-a3ec-799785c5a4e9,2019-02-09T23:48:25.925Z,IC
7da28553-8b24-4a3c-aa9d-be2329372778,2019-02-09T19:45:43.33Z,IC
07110f5e-d5ed-4c2a-a0ba-5ab4ecc50ea3,2019-02-09T18:41:07.779Z,IC
ad19cb03-ce72-4ca6-bd4f-a257a49f200e,2019-02-09T21:47:57.105Z,IC
7dd96dfc-4bda-404e-b8d1-ffd89099aa9a,2019-02-09T12:53:01.332Z,IC
2ffcfa00-7b77-4129-8f76-39022e6fd80d,2019-02-09T21:01:00.04Z,IC
16983374-20be-4cdd-a343-1caef9342a1b,2019-02-09T19:59:00.262Z,IC
99251ec7-62f9-4e71-a58f-8b7901cc11e5,2019-02-09T21:58:21.937Z,IC
53bb8194-694f-47d7-a6d2-b00caefa9fb7,2019-02-09T20:17:53.787Z,IC
dbddb238-032b-4f8a-89e3-fe5e78a02290,2019-02-09T21:18:55.021Z,IC
